StreetName,Postcode,BagStreet,CollectionDay,CollectionTimeStart,CollectionTimeEnd,PresentationDayStart,PresentationTimeStart,PresentationDayEnd,PresentationTimeEnd,KeywasteCollectionDay,KeywasteCollectionTimeStart,KeywasteCollectionTimeEnd,KeyWastePresentationDayStart,KeyWastePresentationTimeStart,KeywastePresentationDayEnd,KeywastePresentationTimeEnd,,,,,,,,,,
Rathmines Road Lower,8,,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Reilly's Cottages,8,,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Richmond Place South,2,Y,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",19:00,0:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",17:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",0:00,,,,,,,,,,,,,,,,,
Richmond Row,8,,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",19:00,0:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",17:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",0:00,,,,,,,,,,,,,,,,,
Richmond Street South,2,Y,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",19:00,4:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",17:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",4:00,,,,,,,,,,,,,,,,,
Richmond Villas,8,,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",19:00,0:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",17:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",0:00,,,,,,,,,,,,,,,,,
Robert Emmet Bridge,8,,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Rosedale Terrace,8,,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Saint Kevin's Avenue,8,,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Saint Kevin's Cottages,8,,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Saint Kevin's Parade,8,,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Saint Kevin's Road,8,,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Saint Vincent Street South,8,,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
South Circular Road,2,Y,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Spencer Street South,8,Y,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
St John's Street,8,Y,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
St Michael's Terrace,8,Y,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Stamer Street,8,,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Synge Lane,8,Y,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",6:00,21:00,Monday,18:00,Tuesday,21:00,Monday,17:30,19:00,Monday,17:30,Monday,19:00,,,,,,,,,,
Synge Place,8,Y,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",6:00,21:00,Monday,18:00,Tuesday,21:00,Monday,17:30,19:00,Monday,17:30,Monday,19:00,,,,,,,,,,
Synge Street,8,Y,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",19:00,0:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",17:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",0:00,Monday,17:30,19:00,Monday,17:30,Monday,19:00,17:30,Monday,19:00,,,,,,,
Vernon Street,8,Y,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Victoria Street,8,,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Walworth Road,8,Y,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Warren Street,8,Y,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Warrenmount Place,8,Y,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Wesley Place,8,Y,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Wexford Street,2,Y,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",19:00,4:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",17:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",4:00,,,,,,,,,,,,,,,,,
Williams Place South,8,,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Windsor Terrace,8,,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
